242, 242.025, -1, -1, 
243, 243.05, -1, 1, 
243.5, 243.525, 1, -1, 
244, 244.025, -1, 1, 
244.5, 244.55, 1, -1, 
245, 245.1, -1, 1, 
245.5, 245.525, 1, -1, 
246, 246.025, -1, 1, 
247, 247.025, 1, -1, 
247.5, 247.525, -1, 1, 
248, 248.025, 1, -1, 
248.5, 248.6, -1, 1, 
249, 249.025, 1, -1, 
249.5, 249.525, -1, 1, 
250, 250.025, 1, -1, 
251, 251.05, -1, 1, 
251.5, 251.525, -1, -1, 
252, 252.05, -1, 1, 
252.5, 252.55, -1, -1, 
253, 253.1, -1, 1, 
253.5, 253.55, -1, -1, 
254, 254.1, -1, 1, 
255, 255.025, -1, -1, 
255.5, 255.55, -1, 1, 
256, 256.025, -1, -1, 
256.5, 256.6, -1, 1, 
257, 257.025, -1, -1, 
257.5, 257.525, -1, 1, 
258, 258.025, 1, -1, 
259, 259.1, 1, 1, 
259.5, 259.6, 1, 1, 
260, 260.05, -1, -1, 
260.5, 260.55, -1, -1, 
261, 261.1, 1, 1, 
261.5, 261.525, -1, -1, 
262, 262.05, 1, 1, 
263, 263.1, 1, 1, 
263.5, 263.6, 1, 1, 
264, 264.1, 1, 1, 
264.5, 264.6, -1, -1, 
265, 265.05, -1, -1, 
265.5, 265.55, -1, -1, 
266, 266.025, -1, -1, 
267, 267.1, 1, 1, 
267.5, 267.6, 1, 1, 
268, 268.1, 1, 1, 
268.5, 268.6, 1, -1, 
269, 269.05, 1, -1, 
269.5, 269.525, 1, -1, 
270, 270.1, 1, 1, 
271, 271.1, 1, 1, 
271.5, 271.55, 1, -1, 
272, 272.1, 1, 1, 
272.5, 272.6, 1, -1, 
273, 273.05, 1, -1, 
273.5, 273.525, 1, 1, 
274, 274.05, -1, 1, 
275, 275.012, 1, -1, 
276, 276.1, -1, 1, 
276.5, 276.55, 1, -1, 
277, 277.1, -1, 1, 
277.5, 277.525, 1, -1, 
278, 278.05, -1, 1, 
279, 279.012, 1, -1, 
